Successfully loaded Excel file: hochma_db_final_corrected.xlsx

--- Missing Chapters ---
No missing chapters found based on the hardcoded Bible structure.

--- Incomplete Chapters (Verse Count Mismatch) ---
출애굽기 20장: 절 범위: 1-26 (총 26개 절)
출애굽기 21장: 절 범위: 1-33 (총 33개 절)
출애굽기 22장: 절 범위: 1-3 (총 3개 절)
출애굽기 23장: 절 범위: 1-33 (총 33개 절)
출애굽기 24장: 절 범위: 1-18 (총 18개 절)
출애굽기 25장: 절 범위: 1-40 (총 40개 절)
출애굽기 26장: 절 범위: 1-37 (총 37개 절)
출애굽기 27장: 절 범위: 1-6 (총 6개 절)
출애굽기 28장: 절 범위: 1-40 (총 40개 절)
출애굽기 29장: 절 범위: 1-7 (총 7개 절)
출애굽기 30장: 절 범위: 1-38 (총 38개 절)
출애굽기 31장: 절 범위: 1-18 (총 18개 절)
출애굽기 32장: 절 범위: 1-35 (총 35개 절)
출애굽기 33장: 절 범위: 1-23 (총 23개 절)
출애굽기 34장: 절 범위: 1-31 (총 31개 절)
출애굽기 35장: 절 범위: 1-19 (총 19개 절)
출애굽기 36장: 절 범위: 1-26 (총 26개 절)
출애굽기 37장: 절 범위: 1-25 (총 25개 절)
출애굽기 38장: 절 범위: 1-15 (총 15개 절)
출애굽기 39장: 절 범위: 1-43 (총 43개 절)
출애굽기 40장: 절 범위: 1-38 (총 38개 절)
레위기 1장: 절 범위: 1-17 (총 17개 절)
레위기 2장: 절 범위: 1-16 (총 16개 절)
레위기 3장: 절 범위: 1-13 (총 13개 절)
레위기 4장: 절 범위: 1-10 (총 10개 절)
레위기 5장: 절 범위: 1-19 (총 19개 절)
레위기 6장: 절 범위: 1-30 (총 30개 절)
레위기 7장: 절 범위: 1-38 (총 38개 절)
레위기 8장: 절 범위: 1-2 (총 2개 절)
레위기 9장: 절 범위: 1-24 (총 24개 절)
레위기 10장: 절 범위: 1-20 (총 20개 절)
레위기 11장: 절 범위: 1-11 (총 11개 절)
레위기 12장: 절 범위: 1-8 (총 8개 절)
레위기 13장: 절 범위: 1-58 (총 58개 절)
